i     |               X Real          X Imaginary  |        Error Real   Error Imaginary
182   |   -10.50850292872975    11.16428716205451  |  -0.0000000000898   0.0000000001781
183   |     9.10142299084035     8.82516613658849  |  -0.0000000000477   0.0000000001823
184   |    -7.61583942547794    -1.71648816487188  |  -0.0000000000433   0.0000000001399
185   |     2.19949750200288     7.68231265239452  |  -0.0000000000860   0.0000000001357
186   |   -11.77458669345892     7.02429247179379  |  -0.0000000000711   0.0000000001748
187   |    -5.72721611554237   -30.25005806574683  |  -0.0000000000675   0.0000000001282
188   |    -2.74465782461937    -9.17160388774117  |  -0.0000000001111   0.0000000001834
189   |    18.64818982131315    -8.11827007115331  |  -0.0000000000397   0.0000000001777
190   |     9.26050960671931     1.98773159078160  |  -0.0000000000779   0.0000000001606
191   |   -10.65228460521197   -10.47014960514245  |  -0.0000000000420   0.0000000001666
192   |    24.52883522385094     3.61995667518360  |  -0.0000000000871   0.0000000001559
193   |    -3.26335261380089   -18.47508344903003  |  -0.0000000000304   0.0000000001971
194   |     2.04521560643418     0.65208346718110  |  -0.0000000000351   0.0000000001256
195   |   -16.55611218781084     1.58559936760405  |  -0.0000000000543   0.0000000001470
196   |    10.79008247474859    -4.15518260276076  |  -0.0000000000637   0.0000000001208
197   |    -1.41769268367277    -6.61764449580567  |  -0.0000000000818   0.0000000001561
198   |    -2.85647781810439     3.47818522722447  |  -0.0000000000615   0.0000000001422
199   |     4.40791524021918    14.58495289406267  |  -0.0000000000907   0.0000000001556
200   |    -1.01125360873773     4.06921935074879  |  -0.0000000000556   0.0000000001816
201   |    -1.91607727839731    10.43056546175317  |  -0.0000000000419   0.0000000001445
202   |    -6.11762845208525    -6.62051053832550  |  -0.0000000000595   0.0000000001462
203   |     5.29115147551337     3.64982670871263  |  -0.0000000000539   0.0000000001307
204   |    -0.64959933618319     6.60354830333017  |  -0.0000000000845   0.0000000001387
205   |     3.25355595238775     6.17372311731963  |  -0.0000000000738   0.0000000001446
206   |     2.64086947578205     4.46252567026548  |  -0.0000000001028   0.0000000001685
207   |    10.30850892682646    -7.19383558671028  |  -0.0000000000320   0.0000000001945
208   |    -8.31692963365426    -0.97241545520557  |  -0.0000000000460   0.0000000001172
209   |    -5.25907517473687    -8.54161988360014  |  -0.0000000000785   0.0000000001637
210   |    14.21213295207088    -6.00687370614849  |  -0.0000000000340   0.0000000001380
211   |    12.28995443067169    -0.94862554542959  |  -0.0000000000939   0.0000000001210
212   |    -2.23633467809553    10.93605204263864  |  -0.0000000000725   0.0000000001761
213   |    10.95930096874923    -6.96549315237806  |  -0.0000000000638   0.0000000001195
214   |    -7.58142863843193     5.92574392027962  |  -0.0000000001248   0.0000000001778
215   |     0.47363707289608    16.29119295364604  |  -0.0000000000292   0.0000000001989
216   |     6.03728607997272     2.64479688720671  |  -0.0000000000553   0.0000000001227
217   |   -12.05353149169402    -3.22257157210571  |  -0.0000000000945   0.0000000001560
218   |     1.51320957554260     6.79294974962008  |  -0.0000000000867   0.0000000001953
219   |    -6.17973407383626    -7.49534789759736  |  -0.0000000000177   0.0000000001971
220   |    -8.77870689072077    -7.26282111482881  |  -0.0000000000369   0.0000000001234
221   |     3.92232871471129    -8.90720066830450  |  -0.0000000000724   0.0000000001575
222   |   -13.72264963332950   -10.21139033148747  |  -0.0000000000572   0.0000000001517
223   |    -7.72605172140232    -2.31776527092615  |  -0.0000000000662   0.0000000001672
224   |     4.21783183345638    -6.10654886695456  |  -0.0000000000481   0.0000000001472
225   |    12.48917255468199     3.75687099803701  |  -0.0000000000911   0.0000000001617
226   |    17.23580940600266    -3.99452145484852  |  -0.0000000000438   0.0000000001887
227   |   -16.88507438241361    -6.66977008307997  |  -0.0000000000624   0.0000000001528
228   |    10.77123371549764    -9.88203226827422  |  -0.0000000000423   0.0000000001945
229   |     1.34886475340634     6.78648063775468  |  -0.0000000000376   0.0000000001297
230   |     1.95039908727605     5.64449403066095  |  -0.0000000000849   0.0000000001857
231   |   -23.72554065190088   -30.42250759290784  |  -0.0000000000171   0.0000000001810
232   |    17.43105699778440    21.71742082540965  |  -0.0000000000337   0.0000000001504
233   |     0.76263152879177     3.93991758827784  |  -0.0000000000525   0.0000000001312
234   |     5.09258178701429     6.04275568013269  |  -0.0000000000847   0.0000000001875
235   |    -8.21657375070570    16.06049994654137  |  -0.0000000000119   0.0000000001799
236   |     1.59951481588758    -2.83773977253086  |  -0.0000000000475   0.0000000001537
237   |     0.52785256290618    -8.20048952098372  |  -0.0000000000298   0.0000000001588
238   |     3.90061981376934     8.82340180555939  |  -0.0000000000577   0.0000000001669
239   |   -19.81497365118667     0.18030792856231  |   0.0000000000005   0.0000000001605
240   |     3.79167321600374    -5.54879578506175  |  -0.0000000000732   0.0000000001102
241   |    -0.67348294504499     2.80227719304110  |  -0.0000000000675   0.0000000001986
242   |    -5.86222652421982     2.74685688921241  |  -0.0000000000316   0.0000000001588
243   |    -8.78417056475866    17.77661201003336  |  -0.0000000000630   0.0000000001857
244   |    -5.07995286705792     5.40836555050079  |  -0.0000000000032   0.0000000001965
245   |    -5.27830023258128    17.60762937424492  |  -0.0000000000166   0.0000000001406
246   |    -0.52757234326989     1.61953109381100  |  -0.0000000000245   0.0000000001777
247   |   -15.74541619188050     4.58789296016763  |  -0.0000000000085   0.0000000001157
248   |    -4.76643377508855    -4.35888479408572  |  -0.0000000000860   0.0000000001815
249   |    20.54540695688350    -6.96561001387029  |   0.0000000000387   0.0000000001798
250   |     1.16394174897368   -10.75587023280185  |  -0.0000000000566   0.0000000001048
251   |     1.02717300806958    14.72571896547613  |  -0.0000000000232   0.0000000002008
252   |    -7.67052560940905     0.62018757926759  |  -0.0000000000056   0.0000000001244
253   |     7.66848370081747    22.33847193027182  |  -0.0000000000385   0.0000000001566
254   |    -3.68532320370835    -2.26118288849711  |  -0.0000000000275   0.0000000001570
255   |     5.27392949732858   -12.36244552254824  |   0.0000000000046   0.0000000001721
256   |    -6.95094159295709     8.18893603299409  |  -0.0000000000018   0.0000000001060
257   |   -18.43440757822577     3.25224812368017  |  -0.0000000000365   0.0000000001510
258   |     1.17938799034733   -10.28943306457761  |   0.0000000000105   0.0000000001114
259   |     2.83996233022357     8.13066823510560  |  -0.0000000000747   0.0000000001061
260   |    12.57833760807424     1.24342949011947  |  -0.0000000000273   0.0000000001672
261   |    16.55605890460359     0.96865865811315  |  -0.0000000000426   0.0000000001016
262   |    -1.87847078946956     1.57203154062440  |  -0.0000000000618   0.0000000001809
263   |     0.78147149987709    17.38452744712768  |   0.0000000000062   0.0000000001181
264   |    -3.11756174960986     3.44311813592259  |  -0.0000000000923   0.0000000001206
265   |    12.08009999282144     7.01265862392284  |  -0.0000000000570   0.0000000001740
266   |    -3.37418960916645     3.14298774490875  |  -0.0000000000575   0.0000000001933
267   |    13.92685227416289     5.81769327761427  |   0.0000000000250   0.0000000001807
268   |    11.32600169397239     6.13160108833377  |  -0.0000000000292   0.0000000001204
269   |    -8.74627006339140     0.73451128745142  |  -0.0000000000175   0.0000000001631
270   |   -10.37785507842164   -17.37027935716644  |  -0.0000000000221   0.0000000001290
271   |     8.41792391473315    -3.07979620687515  |  -0.0000000000307   0.0000000001330
272   |    -2.66488647430173     3.56204239024322  |  -0.0000000000727   0.0000000001544
273   |     5.22589013241502    -6.50938799349510  |   0.0000000000054   0.0000000001975
274   |    11.42096439311833    11.32489629703882  |  -0.0000000000117   0.0000000001094
275   |    -3.34768510725093    -1.16288135115107  |  -0.0000000000342   0.0000000001573
276   |    -5.75142458172489    -1.29298056740794  |  -0.0000000000394   0.0000000001238
277   |     9.37189742389923    -2.94327011908762  |  -0.0000000000545   0.0000000002005
278   |    -7.20451062143758     5.67845876109054  |   0.0000000000352   0.0000000001654
279   |     0.51133446466322   -13.05158318455076  |  -0.0000000000221   0.0000000001095
280   |     7.40150345654536    -4.24811499568557  |  -0.0000000000466   0.0000000001710
281   |    -4.02379082734207   -11.67953112856818  |   0.0000000000258   0.0000000001768
282   |   -21.01876149350367   -14.36698252215924  |   0.0000000000223   0.0000000001026
283   |   -18.29589563946647     1.15341929574328  |  -0.0000000000289   0.0000000000931
284   |    10.83731430322247   -14.59198474120558  |  -0.0000000000698   0.0000000001211
285   |   -12.80041774044631     6.83628463756601  |  -0.0000000000496   0.0000000001736
286   |     2.73331733952093    10.20769057743957  |  -0.0000000000145   0.0000000001672
287   |     2.26968609631227    -6.75728640551492  |   0.0000000000068   0.0000000001358
288   |     0.68352490778731     0.52393782344065  |  -0.0000000000558   0.0000000001116
289   |     0.44827965619355     9.06408091750636  |  -0.0000000000402   0.0000000001894
290   |    -2.12073535831232    -5.37911766549765  |  -0.0000000000139   0.0000000001384
291   |    -7.99277968108643   -11.12305651655187  |  -0.0000000000477   0.0000000001966
292   |    -9.02888854459098     0.61443736527754  |   0.0000000000481   0.0000000001883
293   |    -8.96140524753621    -2.52207315746832  |   0.0000000000365   0.0000000001237
294   |     1.71332975791507   -10.74745168067606  |   0.0000000000171   0.0000000000982
295   |     1.32131760315178    -1.03236721731293  |  -0.0000000000195   0.0000000001066
296   |     0.30619111127272    -7.15586653985953  |  -0.0000000000054   0.0000000000870
297   |    -6.71333795851645    -7.46171998870415  |  -0.0000000000991   0.0000000000967
298   |   -14.17560728197195    -8.25572405493165  |  -0.0000000000406   0.0000000001954
299   |    13.33014984293413     0.74194378181709  |  -0.0000000000169   0.0000000001226
300   |    -6.25907515017084     0.79828999444624  |  -0.0000000000368   0.0000000001666
301   |     9.97897032138773   -15.93156203994928  |  -0.0000000000093   0.0000000001233
302   |     2.41840331893443    13.60247591793915  |  -0.0000000000447   0.0000000001600
303   |   -23.28225898706167   -12.27699614322623  |   0.0000000000088   0.0000000001225
304   |    -1.09598944940502   -14.62762818196688  |  -0.0000000000795   0.0000000001129
305   |    -6.94363681523503   -28.15327098531835  |  -0.0000000000612   0.0000000001867
306   |     1.99561344169069    13.91849017739911  |  -0.0000000000198   0.0000000001886
307   |    17.99089323003324    -3.22755593533567  |  -0.0000000000090   0.0000000001561
308   |    -6.18606954853482   -10.22942186855433  |  -0.0000000000268   0.0000000001802
309   |     9.33411091418920    -8.98220581667428  |   0.0000000000114   0.0000000001570
310   |   -11.79593499843424    -6.71538000083642  |  -0.0000000000258   0.0000000001711
311   |    10.36610887615182    -9.55624970080581  |   0.0000000000371   0.0000000001547
312   |     2.98931331047126     4.12932838971022  |  -0.0000000000413   0.0000000001238
313   |     6.54371571503612     4.15374014251781  |  -0.0000000000060   0.0000000001939
314   |   -12.16835526475284     8.28645994904310  |   0.0000000000074   0.0000000001532
315   |     6.30620374919569    -6.06820319432446  |   0.0000000000110   0.0000000001674
316   |    -8.07840626518226    -1.64813415276663  |   0.0000000000209   0.0000000001575
317   |   -11.79561848894515     2.92005711606637  |   0.0000000000506   0.0000000001233
318   |     1.93528686894085   -25.33513660997260  |  -0.0000000000385   0.0000000000890
319   |     4.96556042964608     0.62739091133513  |  -0.0000000000118   0.0000000001926
320   |   -18.08031106053550    11.32367880831759  |   0.0000000000301   0.0000000001040
321   |    15.76046860071911    -8.88366195753563  |  -0.0000000000575   0.0000000001540
322   |    -7.66739553184533    -0.36109343358915  |   0.0000000000465   0.0000000001819
323   |     6.36912252807711   -10.06426419511388  |  -0.0000000000018   0.0000000000969
324   |    13.05450802506826   -10.14326749879869  |   0.0000000000032   0.0000000001906
325   |    17.61712640259020     6.20139835854893  |   0.0000000000662   0.0000000000758
326   |    -2.24271209209634     3.69712654641827  |  -0.0000000000883   0.0000000001150
327   |    -1.97040864774740    -8.32866920576663  |   0.0000000000379   0.0000000002021
328   |     5.65337400017910    -0.98850367668782  |   0.0000000000283   0.0000000000835
329   |    11.46604356522127    -0.57106546916590  |  -0.0000000000145   0.0000000001159
330   |    -4.86248382690763    -7.72180203831625  |  -0.0000000000370   0.0000000001095
331   |     6.47507481761916   -12.83692849504760  |  -0.0000000000324   0.0000000001838
332   |    -8.62292916032379    -2.29985531441067  |   0.0000000000519   0.0000000001551
333   |    20.85803984362231   -12.81173122744052  |   0.0000000000224   0.0000000000714
334   |    -5.40331773148197    14.38337432409224  |  -0.0000000000735   0.0000000000911
335   |     0.98256028099539     8.58582225951775  |  -0.0000000000593   0.0000000001984
336   |     9.16415929060270     7.65721730105892  |   0.0000000000483   0.0000000001817
337   |    20.05015772838563     4.88154967841068  |   0.0000000000147   0.0000000000842
338   |    13.33060679152008    -2.48372494891906  |  -0.0000000000524   0.0000000001428
339   |    16.74175595177071   -24.45875858244804  |  -0.0000000000008   0.0000000001664
340   |     7.67648589966405    12.98676723546886  |   0.0000000000120   0.0000000001636
341   |    -9.59883811028141    -2.74808127393142  |   0.0000000000425   0.0000000001172
342   |    -5.63465487812881   -21.10070242812344  |  -0.0000000000101   0.0000000001091
343   |    -8.57659877346079     5.14124692636242  |   0.0000000000065   0.0000000000862
344   |    10.60077418091506    -9.52045039137225  |  -0.0000000001026   0.0000000001024
345   |    11.28610524904087    -2.06697383181147  |  -0.0000000000455   0.0000000002004
346   |     2.23912129838580    -8.12891468906558  |  -0.0000000000321   0.0000000001794
347   |    -3.46210454608708     1.95787432895237  |   0.0000000000322   0.0000000001993
348   |    -2.30272764354386   -11.23513381524401  |  -0.0000000000044   0.0000000001091
