i     |               X Real          X Imaginary  |        Error Real   Error Imaginary
83    |   -11.76009054509226     1.68426861229596  |  -0.0000000001672   0.0000000001874
84    |     6.43944148377820     7.58851560985233  |  -0.0000000001820   0.0000000001752
85    |    -5.81874051900101     1.04954490740197  |  -0.0000000001688   0.0000000001963
86    |    -6.79987664912623    -0.53458360096425  |  -0.0000000001674   0.0000000001781
87    |   -20.52948568146255   -19.28017764440570  |  -0.0000000001706   0.0000000001894
88    |    10.63718218206348     2.04426099079665  |  -0.0000000001641   0.0000000001892
89    |    11.27969027969264    -2.45869513565699  |  -0.0000000001601   0.0000000001839
90    |   -11.64441293239144     4.42543206009711  |  -0.0000000001689   0.0000000001955
91    |     0.98103594445951     1.99355295441681  |  -0.0000000001370   0.0000000001917
92    |     8.55062208548406     8.29688443730738  |  -0.0000000001605   0.0000000001738
93    |    -0.11992749176959    -4.15081484454487  |  -0.0000000001421   0.0000000001926
94    |    -1.32249431521629    -8.07002207642962  |  -0.0000000001483   0.0000000001624
95    |   -19.40060468962265   -14.06613365000757  |  -0.0000000001636   0.0000000001760
96    |    11.50784927658630   -12.19535723662463  |  -0.0000000001667   0.0000000001884
97    |     8.62945564768657    -0.49158015308364  |  -0.0000000001423   0.0000000001979
98    |    -7.22038473072527     4.61553984315635  |  -0.0000000001473   0.0000000001832
99    |    13.66244593774436     7.33039262107527  |  -0.0000000001296   0.0000000001917
100   |     1.72699022901967     2.84166298925796  |  -0.0000000001433   0.0000000001651
101   |    -1.16630283391898    -0.29505895379811  |  -0.0000000001400   0.0000000001929
102   |    -2.03568793596500    10.25201512148246  |  -0.0000000001331   0.0000000001670
103   |    -0.20995800594140    -2.05538702509774  |  -0.0000000001381   0.0000000001899
104   |    -4.04110033812367    16.65599480708776  |  -0.0000000001165   0.0000000001555
105   |     5.97180951250961     7.82154715516957  |  -0.0000000001617   0.0000000001638
106   |    -0.72378019613571    -2.22506923383082  |  -0.0000000001340   0.0000000001824
107   |    10.16614140148355    -7.26460566113993  |  -0.0000000001478   0.0000000001677
108   |    -1.90543857596150   -10.65974820129701  |  -0.0000000001348   0.0000000001881
109   |    -5.67023558560460     0.74186866026608  |  -0.0000000001369   0.0000000001675
110   |    -0.76554682926980    -8.86719571117060  |  -0.0000000001327   0.0000000001919
111   |     3.05505715942391    -4.19398642276727  |  -0.0000000001170   0.0000000001586
112   |   -10.49506564837154     7.22055022053063  |  -0.0000000001470   0.0000000001716
113   |     3.63118681804245     1.25367991186606  |  -0.0000000001276   0.0000000001688
114   |     1.48543818025618    -5.71617870989220  |  -0.0000000001521   0.0000000001798
115   |     3.84182403629507     2.75334523484294  |  -0.0000000001122   0.0000000001923
116   |     6.56002785691481    12.29799133213442  |  -0.0000000001189   0.0000000001575
117   |     1.32940489902549    -9.40276785934119  |  -0.0000000001336   0.0000000001592
118   |     8.82554612683822    -4.06320604119620  |  -0.0000000001525   0.0000000001721
119   |     2.56630551461125     1.32314145707255  |  -0.0000000001300   0.0000000001987
120   |    -2.52798635099209     2.95253172941556  |  -0.0000000001129   0.0000000001785
121   |    15.78009918739305     0.17415182496768  |  -0.0000000001223   0.0000000001749
122   |    -5.81571867022377    -6.22564352361942  |  -0.0000000001109   0.0000000001820
123   |    -5.02831641151599    17.44745405660970  |  -0.0000000001046   0.0000000001525
124   |   -16.62802555096198    -0.49561967067268  |  -0.0000000001433   0.0000000001589
125   |    -2.68193311178537    -6.30169270455804  |  -0.0000000001223   0.0000000001903
126   |     7.53882244522339    12.43490315197454  |  -0.0000000001017   0.0000000001640
127   |     3.71613926081037    12.29155606306445  |  -0.0000000001313   0.0000000001519
128   |     0.32570179737463     8.60067976237819  |  -0.0000000001255   0.0000000001818
129   |     4.97653917808483     4.17939382042832  |  -0.0000000001194   0.0000000001503
130   |   -12.30891965826538     7.23430789836521  |  -0.0000000001542   0.0000000001858
131   |    -7.74926556833677    -0.14395360947111  |  -0.0000000001086   0.0000000001970
132   |     3.74410174430162    -4.84738428212602  |  -0.0000000001040   0.0000000001866
133   |    -6.72930760619909    -7.55751697454643  |  -0.0000000000938   0.0000000001515
134   |    -3.49311188817866    -7.75947311915157  |  -0.0000000001461   0.0000000001782
135   |   -15.55849693631799    18.66006514568828  |  -0.0000000000802   0.0000000001914
136   |    -6.73490510277770    -2.22766395549039  |  -0.0000000001125   0.0000000001520
137   |    -6.45267547526008     0.27730622991665  |  -0.0000000000950   0.0000000001643
138   |   -15.37813617411749    13.62068467431329  |  -0.0000000001423   0.0000000001440
139   |   -21.11882717014608    15.20095952399418  |  -0.0000000001186   0.0000000001997
140   |    -1.24251369405444     5.37984142704867  |  -0.0000000001161   0.0000000001716
141   |    -8.86308860439355    -5.13391795946473  |  -0.0000000000903   0.0000000001972
142   |    -0.61445827053344   -29.04518995636318  |  -0.0000000001057   0.0000000001410
143   |     1.04708454868064   -10.72876552239424  |  -0.0000000001178   0.0000000002005
144   |    -5.03227627850743   -16.62929812849171  |  -0.0000000000828   0.0000000001517
145   |    -9.26831158986731   -13.97225510409120  |  -0.0000000001334   0.0000000001807
146   |     1.52098096349216    -3.96799530733234  |  -0.0000000000805   0.0000000001849
147   |    10.90494877177015    -6.76632260743455  |  -0.0000000001062   0.0000000001642
148   |    -8.50934054337266    13.29113017005579  |  -0.0000000000892   0.0000000001815
149   |    -6.96508943935506    12.65936283404831  |  -0.0000000000884   0.0000000001585
150   |   -23.43904797455971    -3.27256253851282  |  -0.0000000000987   0.0000000001560
151   |   -11.61399348203029    13.63811373283748  |  -0.0000000001138   0.0000000001630
152   |     3.82039144727352    -1.74791092521272  |  -0.0000000000930   0.0000000001805
153   |    -0.52974908343050     3.14885912188222  |  -0.0000000000905   0.0000000001412
154   |     2.32315876234497     2.61112140678918  |  -0.0000000001382   0.0000000001581
155   |    12.71239243824870   -18.60229940034687  |  -0.0000000001162   0.0000000001989
156   |     9.18505891001320    17.78217037613491  |  -0.0000000000930   0.0000000001842
157   |    -8.24895260064601    11.44141695382517  |  -0.0000000001032   0.0000000001834
158   |     0.71213614046845     0.90306142432130  |  -0.0000000000849   0.0000000001958
159   |    -1.83610291188929     9.44502341838004  |  -0.0000000000767   0.0000000001699
160   |    -8.82650978085528    -3.23235112254830  |  -0.0000000000962   0.0000000001791
161   |    13.04897158758545     4.98637531367577  |  -0.0000000000716   0.0000000001870
162   |    -3.92899639732379     8.55921914633535  |  -0.0000000000717   0.0000000001599
163   |     8.09679142062544    11.29531068341138  |  -0.0000000000943   0.0000000001711
164   |    13.74449186392906     7.80537233386024  |  -0.0000000000620   0.0000000001863
165   |   -18.59514022102161     6.67152229810419  |  -0.0000000000619   0.0000000001411
166   |     2.33918584748287     1.20802522716803  |  -0.0000000000854   0.0000000001541
167   |    -8.66846022882653     0.68086392885931  |  -0.0000000000836   0.0000000001356
168   |   -13.79127512479353     4.23008411295566  |  -0.0000000001153   0.0000000001568
169   |     8.73838158833683    -5.09847255891126  |  -0.0000000001032   0.0000000001602
170   |    21.61787907929886   -12.60783016458582  |  -0.0000000001239   0.0000000001957
171   |    17.62336866322381    -6.94251557451183  |  -0.0000000000558   0.0000000001977
172   |    -9.45809140574504    -5.29885628864604  |  -0.0000000000918   0.0000000001503
173   |   -19.62465498358510    -8.58556822709524  |  -0.0000000000980   0.0000000002009
174   |    -0.41329654004532     0.43164812516456  |  -0.0000000000595   0.0000000001925
175   |    -1.94100957188946     0.47625907063418  |  -0.0000000000611   0.0000000001687
176   |    -6.28796666303441    -5.92130901148512  |  -0.0000000000764   0.0000000001715
177   |    -9.31841898988492    -0.92642852497992  |  -0.0000000000697   0.0000000001826
178   |    -6.83742623313296   -13.30877281879480  |  -0.0000000000529   0.0000000001895
179   |     1.13977017757364    -1.81169867435728  |  -0.0000000000259   0.0000000001572
180   |     8.97842457839429   -15.53503711579443  |  -0.0000000000618   0.0000000001261
181   |    -0.98107311167302    10.75072759653156  |  -0.0000000000895   0.0000000001445
182   |   -10.50850292872975    11.16428716205452  |  -0.0000000000898   0.0000000001781
183   |     9.10142299084035     8.82516613658848  |  -0.0000000000477   0.0000000001823
184   |    -7.61583942547794    -1.71648816487188  |  -0.0000000000433   0.0000000001399
185   |     2.19949750200289     7.68231265239452  |  -0.0000000000860   0.0000000001357
186   |   -11.77458669345891     7.02429247179378  |  -0.0000000000711   0.0000000001747
187   |    -5.72721611554237   -30.25005806574683  |  -0.0000000000675   0.0000000001282
188   |    -2.74465782461936    -9.17160388774117  |  -0.0000000001111   0.0000000001834
189   |    18.64818982131316    -8.11827007115331  |  -0.0000000000397   0.0000000001777
190   |     9.26050960671931     1.98773159078161  |  -0.0000000000779   0.0000000001606
191   |   -10.65228460521196   -10.47014960514244  |  -0.0000000000420   0.0000000001666
192   |    24.52883522385095     3.61995667518361  |  -0.0000000000871   0.0000000001559
193   |    -3.26335261380088   -18.47508344903003  |  -0.0000000000304   0.0000000001971
194   |     2.04521560643417     0.65208346718110  |  -0.0000000000351   0.0000000001256
195   |   -16.55611218781085     1.58559936760405  |  -0.0000000000543   0.0000000001470
196   |    10.79008247474858    -4.15518260276076  |  -0.0000000000637   0.0000000001208
197   |    -1.41769268367277    -6.61764449580567  |  -0.0000000000818   0.0000000001561
198   |    -2.85647781810439     3.47818522722446  |  -0.0000000000615   0.0000000001422
199   |     4.40791524021918    14.58495289406267  |  -0.0000000000907   0.0000000001556
200   |    -1.01125360873773     4.06921935074880  |  -0.0000000000556   0.0000000001816
201   |    -1.91607727839731    10.43056546175318  |  -0.0000000000419   0.0000000001445
202   |    -6.11762845208525    -6.62051053832550  |  -0.0000000000595   0.0000000001462
203   |     5.29115147551337     3.64982670871262  |  -0.0000000000539   0.0000000001307
204   |    -0.64959933618320     6.60354830333016  |  -0.0000000000845   0.0000000001387
205   |     3.25355595238776     6.17372311731964  |  -0.0000000000738   0.0000000001446
206   |     2.64086947578206     4.46252567026548  |  -0.0000000001028   0.0000000001685
207   |    10.30850892682647    -7.19383558671027  |  -0.0000000000320   0.0000000001945
208   |    -8.31692963365426    -0.97241545520557  |  -0.0000000000460   0.0000000001172
209   |    -5.25907517473687    -8.54161988360013  |  -0.0000000000785   0.0000000001637
210   |    14.21213295207088    -6.00687370614850  |  -0.0000000000340   0.0000000001380
211   |    12.28995443067169    -0.94862554542959  |  -0.0000000000939   0.0000000001210
212   |    -2.23633467809554    10.93605204263864  |  -0.0000000000725   0.0000000001761
213   |    10.95930096874921    -6.96549315237807  |  -0.0000000000638   0.0000000001195
214   |    -7.58142863843193     5.92574392027962  |  -0.0000000001248   0.0000000001778
215   |     0.47363707289609    16.29119295364603  |  -0.0000000000292   0.0000000001989
216   |     6.03728607997271     2.64479688720671  |  -0.0000000000553   0.0000000001227
217   |   -12.05353149169402    -3.22257157210570  |  -0.0000000000945   0.0000000001560
218   |     1.51320957554259     6.79294974962009  |  -0.0000000000867   0.0000000001953
219   |    -6.17973407383628    -7.49534789759736  |  -0.0000000000177   0.0000000001971
220   |    -8.77870689072076    -7.26282111482881  |  -0.0000000000369   0.0000000001234
221   |     3.92232871471128    -8.90720066830450  |  -0.0000000000724   0.0000000001575
222   |   -13.72264963332949   -10.21139033148746  |  -0.0000000000572   0.0000000001517
223   |    -7.72605172140232    -2.31776527092615  |  -0.0000000000662   0.0000000001672
224   |     4.21783183345638    -6.10654886695455  |  -0.0000000000481   0.0000000001472
225   |    12.48917255468199     3.75687099803701  |  -0.0000000000911   0.0000000001617
226   |    17.23580940600266    -3.99452145484852  |  -0.0000000000438   0.0000000001887
227   |   -16.88507438241361    -6.66977008307995  |  -0.0000000000624   0.0000000001528
228   |    10.77123371549765    -9.88203226827424  |  -0.0000000000423   0.0000000001945
229   |     1.34886475340634     6.78648063775469  |  -0.0000000000376   0.0000000001297
230   |     1.95039908727605     5.64449403066094  |  -0.0000000000849   0.0000000001857
231   |   -23.72554065190088   -30.42250759290785  |  -0.0000000000171   0.0000000001810
232   |    17.43105699778441    21.71742082540966  |  -0.0000000000337   0.0000000001504
233   |     0.76263152879176     3.93991758827783  |  -0.0000000000525   0.0000000001312
234   |     5.09258178701429     6.04275568013270  |  -0.0000000000847   0.0000000001875
235   |    -8.21657375070569    16.06049994654137  |  -0.0000000000119   0.0000000001799
236   |     1.59951481588757    -2.83773977253085  |  -0.0000000000475   0.0000000001537
237   |     0.52785256290618    -8.20048952098372  |  -0.0000000000298   0.0000000001588
238   |     3.90061981376933     8.82340180555939  |  -0.0000000000577   0.0000000001669
239   |   -19.81497365118666     0.18030792856231  |   0.0000000000005   0.0000000001605
240   |     3.79167321600373    -5.54879578506175  |  -0.0000000000732   0.0000000001102
241   |    -0.67348294504498     2.80227719304110  |  -0.0000000000675   0.0000000001986
242   |    -5.86222652421981     2.74685688921242  |  -0.0000000000316   0.0000000001588
243   |    -8.78417056475866    17.77661201003336  |  -0.0000000000630   0.0000000001857
244   |    -5.07995286705791     5.40836555050079  |  -0.0000000000032   0.0000000001965
245   |    -5.27830023258130    17.60762937424491  |  -0.0000000000166   0.0000000001406
246   |    -0.52757234326990     1.61953109381101  |  -0.0000000000245   0.0000000001777
247   |   -15.74541619188050     4.58789296016763  |  -0.0000000000085   0.0000000001157
248   |    -4.76643377508855    -4.35888479408572  |  -0.0000000000860   0.0000000001815
249   |    20.54540695688348    -6.96561001387030  |   0.0000000000387   0.0000000001798
250   |     1.16394174897368   -10.75587023280186  |  -0.0000000000566   0.0000000001048
251   |     1.02717300806957    14.72571896547614  |  -0.0000000000232   0.0000000002008
252   |    -7.67052560940905     0.62018757926760  |  -0.0000000000056   0.0000000001244
253   |     7.66848370081747    22.33847193027180  |  -0.0000000000385   0.0000000001566
254   |    -3.68532320370833    -2.26118288849712  |  -0.0000000000275   0.0000000001570
255   |     5.27392949732858   -12.36244552254824  |   0.0000000000046   0.0000000001721
256   |    -6.95094159295708     8.18893603299409  |  -0.0000000000018   0.0000000001060
257   |   -18.43440757822575     3.25224812368018  |  -0.0000000000365   0.0000000001510
258   |     1.17938799034732   -10.28943306457760  |   0.0000000000105   0.0000000001114
259   |     2.83996233022357     8.13066823510560  |  -0.0000000000747   0.0000000001061
260   |    12.57833760807424     1.24342949011948  |  -0.0000000000273   0.0000000001672
261   |    16.55605890460358     0.96865865811315  |  -0.0000000000426   0.0000000001016
262   |    -1.87847078946956     1.57203154062440  |  -0.0000000000618   0.0000000001809
263   |     0.78147149987710    17.38452744712768  |   0.0000000000062   0.0000000001181
264   |    -3.11756174960986     3.44311813592259  |  -0.0000000000923   0.0000000001206
265   |    12.08009999282145     7.01265862392283  |  -0.0000000000570   0.0000000001740
266   |    -3.37418960916645     3.14298774490874  |  -0.0000000000575   0.0000000001933
267   |    13.92685227416289     5.81769327761428  |   0.0000000000250   0.0000000001807
268   |    11.32600169397239     6.13160108833378  |  -0.0000000000292   0.0000000001204
269   |    -8.74627006339141     0.73451128745143  |  -0.0000000000175   0.0000000001631
270   |   -10.37785507842164   -17.37027935716644  |  -0.0000000000221   0.0000000001290
271   |     8.41792391473316    -3.07979620687515  |  -0.0000000000307   0.0000000001330
272   |    -2.66488647430174     3.56204239024323  |  -0.0000000000727   0.0000000001544
273   |     5.22589013241502    -6.50938799349510  |   0.0000000000054   0.0000000001975
274   |    11.42096439311831    11.32489629703882  |  -0.0000000000117   0.0000000001094
275   |    -3.34768510725093    -1.16288135115107  |  -0.0000000000342   0.0000000001573
276   |    -5.75142458172490    -1.29298056740794  |  -0.0000000000394   0.0000000001238
277   |     9.37189742389922    -2.94327011908762  |  -0.0000000000545   0.0000000002005
278   |    -7.20451062143758     5.67845876109055  |   0.0000000000352   0.0000000001654
279   |     0.51133446466321   -13.05158318455076  |  -0.0000000000221   0.0000000001095
280   |     7.40150345654535    -4.24811499568557  |  -0.0000000000466   0.0000000001710
281   |    -4.02379082734207   -11.67953112856818  |   0.0000000000258   0.0000000001768
282   |   -21.01876149350365   -14.36698252215925  |   0.0000000000223   0.0000000001026
283   |   -18.29589563946648     1.15341929574328  |  -0.0000000000289   0.0000000000931
284   |    10.83731430322247   -14.59198474120558  |  -0.0000000000698   0.0000000001211
285   |   -12.80041774044632     6.83628463756600  |  -0.0000000000496   0.0000000001736
286   |     2.73331733952093    10.20769057743957  |  -0.0000000000145   0.0000000001672
287   |     2.26968609631228    -6.75728640551493  |   0.0000000000068   0.0000000001358
288   |     0.68352490778731     0.52393782344065  |  -0.0000000000558   0.0000000001116
289   |     0.44827965619354     9.06408091750636  |  -0.0000000000402   0.0000000001894
290   |    -2.12073535831232    -5.37911766549764  |  -0.0000000000139   0.0000000001384
291   |    -7.99277968108644   -11.12305651655188  |  -0.0000000000477   0.0000000001966
292   |    -9.02888854459099     0.61443736527754  |   0.0000000000481   0.0000000001883
293   |    -8.96140524753621    -2.52207315746832  |   0.0000000000365   0.0000000001237
294   |     1.71332975791506   -10.74745168067606  |   0.0000000000171   0.0000000000982
295   |     1.32131760315178    -1.03236721731293  |  -0.0000000000195   0.0000000001066
296   |     0.30619111127272    -7.15586653985953  |  -0.0000000000054   0.0000000000870
297   |    -6.71333795851645    -7.46171998870416  |  -0.0000000000991   0.0000000000967
298   |   -14.17560728197195    -8.25572405493164  |  -0.0000000000406   0.0000000001954
299   |    13.33014984293413     0.74194378181709  |  -0.0000000000169   0.0000000001226
300   |    -6.25907515017083     0.79828999444624  |  -0.0000000000368   0.0000000001666
301   |     9.97897032138772   -15.93156203994929  |  -0.0000000000093   0.0000000001233
302   |     2.41840331893443    13.60247591793915  |  -0.0000000000447   0.0000000001600
303   |   -23.28225898706167   -12.27699614322624  |   0.0000000000088   0.0000000001225
304   |    -1.09598944940501   -14.62762818196687  |  -0.0000000000795   0.0000000001129
305   |    -6.94363681523503   -28.15327098531836  |  -0.0000000000612   0.0000000001867
306   |     1.99561344169069    13.91849017739911  |  -0.0000000000198   0.0000000001886
307   |    17.99089323003325    -3.22755593533568  |  -0.0000000000090   0.0000000001561
308   |    -6.18606954853484   -10.22942186855433  |  -0.0000000000268   0.0000000001802
309   |     9.33411091418921    -8.98220581667428  |   0.0000000000114   0.0000000001570
310   |   -11.79593499843424    -6.71538000083644  |  -0.0000000000258   0.0000000001711
311   |    10.36610887615181    -9.55624970080581  |   0.0000000000371   0.0000000001547
312   |     2.98931331047126     4.12932838971022  |  -0.0000000000413   0.0000000001238
313   |     6.54371571503611     4.15374014251780  |  -0.0000000000060   0.0000000001939
314   |   -12.16835526475284     8.28645994904310  |   0.0000000000074   0.0000000001532
315   |     6.30620374919570    -6.06820319432446  |   0.0000000000110   0.0000000001674
316   |    -8.07840626518226    -1.64813415276663  |   0.0000000000209   0.0000000001575
317   |   -11.79561848894515     2.92005711606638  |   0.0000000000506   0.0000000001233
318   |     1.93528686894085   -25.33513660997260  |  -0.0000000000385   0.0000000000890
319   |     4.96556042964608     0.62739091133512  |  -0.0000000000118   0.0000000001926
320   |   -18.08031106053550    11.32367880831759  |   0.0000000000301   0.0000000001040
321   |    15.76046860071912    -8.88366195753564  |  -0.0000000000575   0.0000000001540
322   |    -7.66739553184532    -0.36109343358914  |   0.0000000000465   0.0000000001819
323   |     6.36912252807712   -10.06426419511387  |  -0.0000000000018   0.0000000000969
324   |    13.05450802506825   -10.14326749879870  |   0.0000000000032   0.0000000001906
325   |    17.61712640259019     6.20139835854892  |   0.0000000000662   0.0000000000758
326   |    -2.24271209209633     3.69712654641826  |  -0.0000000000883   0.0000000001150
327   |    -1.97040864774740    -8.32866920576663  |   0.0000000000379   0.0000000002021
328   |     5.65337400017910    -0.98850367668781  |   0.0000000000283   0.0000000000835
329   |    11.46604356522127    -0.57106546916590  |  -0.0000000000145   0.0000000001159
330   |    -4.86248382690762    -7.72180203831624  |  -0.0000000000370   0.0000000001095
331   |     6.47507481761915   -12.83692849504760  |  -0.0000000000324   0.0000000001838
332   |    -8.62292916032379    -2.29985531441067  |   0.0000000000519   0.0000000001551
333   |    20.85803984362229   -12.81173122744053  |   0.0000000000224   0.0000000000714
334   |    -5.40331773148197    14.38337432409225  |  -0.0000000000735   0.0000000000911
335   |     0.98256028099539     8.58582225951776  |  -0.0000000000593   0.0000000001984
336   |     9.16415929060270     7.65721730105892  |   0.0000000000483   0.0000000001817
337   |    20.05015772838563     4.88154967841069  |   0.0000000000147   0.0000000000842
338   |    13.33060679152007    -2.48372494891907  |  -0.0000000000524   0.0000000001428
339   |    16.74175595177073   -24.45875858244802  |  -0.0000000000008   0.0000000001664
340   |     7.67648589966405    12.98676723546887  |   0.0000000000120   0.0000000001636
341   |    -9.59883811028141    -2.74808127393141  |   0.0000000000425   0.0000000001172
342   |    -5.63465487812881   -21.10070242812343  |  -0.0000000000101   0.0000000001091
343   |    -8.57659877346079     5.14124692636243  |   0.0000000000065   0.0000000000862
344   |    10.60077418091505    -9.52045039137226  |  -0.0000000001026   0.0000000001024
345   |    11.28610524904087    -2.06697383181148  |  -0.0000000000455   0.0000000002004
346   |     2.23912129838581    -8.12891468906557  |  -0.0000000000321   0.0000000001794
347   |    -3.46210454608708     1.95787432895237  |   0.0000000000322   0.0000000001993
348   |    -2.30272764354386   -11.23513381524402  |  -0.0000000000044   0.0000000001091
