i     |               X Real          X Imaginary  |        Error Real   Error Imaginary
65    |    -3.45577458544264     8.07217329696535  |  -0.0000000001918   0.0000000001750
66    |    -6.87462523885688    -2.04137685961453  |  -0.0000000002068   0.0000000001918
67    |     7.44657432714034    -6.86492291025637  |  -0.0000000001876   0.0000000001824
68    |     1.03322947268741     7.84121210769943  |  -0.0000000002017   0.0000000001955
69    |    -6.49857572075088    -7.00334784480947  |  -0.0000000001688   0.0000000001812
70    |     1.60731761338183     0.12545356844919  |  -0.0000000002022   0.0000000001724
71    |    -7.06856335995061    -8.79529815102135  |  -0.0000000001856   0.0000000001866
72    |    -7.46939351595106     2.28329982963457  |  -0.0000000001933   0.0000000001824
73    |    -3.54038930376935     5.95918825504957  |  -0.0000000001826   0.0000000001777
74    |     6.55667313837074   -17.32524364023325  |  -0.0000000002063   0.0000000001914
75    |    -9.83091871265513    -0.84649456674657  |  -0.0000000001633   0.0000000001987
76    |    -4.66776918625888    -3.70924427173067  |  -0.0000000001854   0.0000000001724
77    |     4.56997760033259     0.54476712994944  |  -0.0000000001756   0.0000000001913
78    |    -6.32765794340298    -4.88125890527247  |  -0.0000000001813   0.0000000001826
79    |    -8.11597609270691    -4.47146500786751  |  -0.0000000001638   0.0000000001904
80    |   -10.30068547906221     5.47269258777960  |  -0.0000000001716   0.0000000001719
81    |    11.09913300706370    -6.26153059544007  |  -0.0000000001704   0.0000000001755
82    |    -6.37643007134968     6.06616517414853  |  -0.0000000001861   0.0000000001765
83    |   -11.76009054509226     1.68426861229597  |  -0.0000000001672   0.0000000001874
84    |     6.43944148377817     7.58851560985234  |  -0.0000000001820   0.0000000001752
85    |    -5.81874051900101     1.04954490740197  |  -0.0000000001688   0.0000000001963
86    |    -6.79987664912624    -0.53458360096426  |  -0.0000000001674   0.0000000001781
87    |   -20.52948568146254   -19.28017764440570  |  -0.0000000001706   0.0000000001894
88    |    10.63718218206348     2.04426099079665  |  -0.0000000001641   0.0000000001892
89    |    11.27969027969264    -2.45869513565699  |  -0.0000000001601   0.0000000001839
90    |   -11.64441293239145     4.42543206009712  |  -0.0000000001689   0.0000000001955
91    |     0.98103594445952     1.99355295441681  |  -0.0000000001370   0.0000000001917
92    |     8.55062208548407     8.29688443730739  |  -0.0000000001605   0.0000000001738
93    |    -0.11992749176958    -4.15081484454487  |  -0.0000000001421   0.0000000001926
94    |    -1.32249431521626    -8.07002207642963  |  -0.0000000001483   0.0000000001624
95    |   -19.40060468962264   -14.06613365000757  |  -0.0000000001636   0.0000000001760
96    |    11.50784927658630   -12.19535723662462  |  -0.0000000001667   0.0000000001884
97    |     8.62945564768657    -0.49158015308365  |  -0.0000000001423   0.0000000001979
98    |    -7.22038473072528     4.61553984315635  |  -0.0000000001473   0.0000000001832
99    |    13.66244593774437     7.33039262107524  |  -0.0000000001296   0.0000000001917
100   |     1.72699022901966     2.84166298925795  |  -0.0000000001433   0.0000000001651
101   |    -1.16630283391899    -0.29505895379812  |  -0.0000000001400   0.0000000001929
102   |    -2.03568793596499    10.25201512148246  |  -0.0000000001331   0.0000000001670
103   |    -0.20995800594140    -2.05538702509774  |  -0.0000000001381   0.0000000001899
104   |    -4.04110033812362    16.65599480708776  |  -0.0000000001165   0.0000000001555
105   |     5.97180951250960     7.82154715516957  |  -0.0000000001617   0.0000000001638
106   |    -0.72378019613570    -2.22506923383083  |  -0.0000000001340   0.0000000001824
107   |    10.16614140148355    -7.26460566113993  |  -0.0000000001478   0.0000000001677
108   |    -1.90543857596149   -10.65974820129702  |  -0.0000000001348   0.0000000001881
109   |    -5.67023558560460     0.74186866026608  |  -0.0000000001369   0.0000000001675
110   |    -0.76554682926981    -8.86719571117061  |  -0.0000000001327   0.0000000001919
111   |     3.05505715942391    -4.19398642276726  |  -0.0000000001170   0.0000000001586
112   |   -10.49506564837156     7.22055022053063  |  -0.0000000001470   0.0000000001716
113   |     3.63118681804245     1.25367991186606  |  -0.0000000001276   0.0000000001688
114   |     1.48543818025618    -5.71617870989219  |  -0.0000000001521   0.0000000001798
115   |     3.84182403629506     2.75334523484292  |  -0.0000000001122   0.0000000001923
116   |     6.56002785691479    12.29799133213443  |  -0.0000000001189   0.0000000001575
117   |     1.32940489902548    -9.40276785934118  |  -0.0000000001336   0.0000000001592
118   |     8.82554612683822    -4.06320604119622  |  -0.0000000001525   0.0000000001721
119   |     2.56630551461125     1.32314145707254  |  -0.0000000001300   0.0000000001987
120   |    -2.52798635099209     2.95253172941555  |  -0.0000000001129   0.0000000001785
121   |    15.78009918739306     0.17415182496768  |  -0.0000000001223   0.0000000001749
122   |    -5.81571867022378    -6.22564352361941  |  -0.0000000001109   0.0000000001820
123   |    -5.02831641151599    17.44745405660970  |  -0.0000000001046   0.0000000001525
124   |   -16.62802555096197    -0.49561967067269  |  -0.0000000001433   0.0000000001589
125   |    -2.68193311178538    -6.30169270455804  |  -0.0000000001223   0.0000000001903
126   |     7.53882244522340    12.43490315197456  |  -0.0000000001017   0.0000000001640
127   |     3.71613926081035    12.29155606306446  |  -0.0000000001313   0.0000000001519
128   |     0.32570179737463     8.60067976237820  |  -0.0000000001255   0.0000000001818
129   |     4.97653917808483     4.17939382042832  |  -0.0000000001194   0.0000000001503
130   |   -12.30891965826540     7.23430789836520  |  -0.0000000001542   0.0000000001858
131   |    -7.74926556833677    -0.14395360947110  |  -0.0000000001086   0.0000000001970
132   |     3.74410174430160    -4.84738428212600  |  -0.0000000001040   0.0000000001866
133   |    -6.72930760619910    -7.55751697454642  |  -0.0000000000938   0.0000000001515
134   |    -3.49311188817865    -7.75947311915157  |  -0.0000000001461   0.0000000001782
135   |   -15.55849693631799    18.66006514568829  |  -0.0000000000802   0.0000000001914
136   |    -6.73490510277770    -2.22766395549040  |  -0.0000000001125   0.0000000001520
137   |    -6.45267547526008     0.27730622991665  |  -0.0000000000950   0.0000000001643
138   |   -15.37813617411749    13.62068467431329  |  -0.0000000001423   0.0000000001440
139   |   -21.11882717014610    15.20095952399418  |  -0.0000000001186   0.0000000001997
140   |    -1.24251369405444     5.37984142704866  |  -0.0000000001161   0.0000000001716
141   |    -8.86308860439355    -5.13391795946473  |  -0.0000000000903   0.0000000001972
142   |    -0.61445827053344   -29.04518995636318  |  -0.0000000001057   0.0000000001410
143   |     1.04708454868064   -10.72876552239423  |  -0.0000000001178   0.0000000002005
144   |    -5.03227627850743   -16.62929812849172  |  -0.0000000000828   0.0000000001517
145   |    -9.26831158986734   -13.97225510409121  |  -0.0000000001334   0.0000000001807
146   |     1.52098096349214    -3.96799530733234  |  -0.0000000000805   0.0000000001849
147   |    10.90494877177015    -6.76632260743456  |  -0.0000000001062   0.0000000001642
148   |    -8.50934054337265    13.29113017005580  |  -0.0000000000892   0.0000000001815
149   |    -6.96508943935506    12.65936283404831  |  -0.0000000000884   0.0000000001585
150   |   -23.43904797455974    -3.27256253851283  |  -0.0000000000987   0.0000000001560
151   |   -11.61399348203037    13.63811373283749  |  -0.0000000001138   0.0000000001630
152   |     3.82039144727354    -1.74791092521272  |  -0.0000000000930   0.0000000001805
153   |    -0.52974908343049     3.14885912188224  |  -0.0000000000905   0.0000000001412
154   |     2.32315876234497     2.61112140678918  |  -0.0000000001382   0.0000000001581
155   |    12.71239243824871   -18.60229940034687  |  -0.0000000001162   0.0000000001989
156   |     9.18505891001320    17.78217037613491  |  -0.0000000000930   0.0000000001842
157   |    -8.24895260064601    11.44141695382518  |  -0.0000000001032   0.0000000001834
158   |     0.71213614046844     0.90306142432130  |  -0.0000000000849   0.0000000001958
159   |    -1.83610291188929     9.44502341838004  |  -0.0000000000767   0.0000000001699
160   |    -8.82650978085528    -3.23235112254830  |  -0.0000000000962   0.0000000001791
161   |    13.04897158758545     4.98637531367577  |  -0.0000000000716   0.0000000001871
162   |    -3.92899639732379     8.55921914633535  |  -0.0000000000717   0.0000000001599
163   |     8.09679142062544    11.29531068341138  |  -0.0000000000943   0.0000000001711
164   |    13.74449186392907     7.80537233386023  |  -0.0000000000620   0.0000000001863
165   |   -18.59514022102161     6.67152229810419  |  -0.0000000000619   0.0000000001411
166   |     2.33918584748286     1.20802522716803  |  -0.0000000000854   0.0000000001541
167   |    -8.66846022882653     0.68086392885932  |  -0.0000000000836   0.0000000001356
168   |   -13.79127512479353     4.23008411295566  |  -0.0000000001153   0.0000000001568
169   |     8.73838158833684    -5.09847255891127  |  -0.0000000001032   0.0000000001602
170   |    21.61787907929884   -12.60783016458580  |  -0.0000000001239   0.0000000001957
171   |    17.62336866322381    -6.94251557451182  |  -0.0000000000558   0.0000000001977
172   |    -9.45809140574504    -5.29885628864605  |  -0.0000000000918   0.0000000001503
173   |   -19.62465498358511    -8.58556822709522  |  -0.0000000000980   0.0000000002009
174   |    -0.41329654004533     0.43164812516456  |  -0.0000000000595   0.0000000001925
175   |    -1.94100957188946     0.47625907063417  |  -0.0000000000611   0.0000000001687
176   |    -6.28796666303441    -5.92130901148513  |  -0.0000000000764   0.0000000001715
177   |    -9.31841898988493    -0.92642852497992  |  -0.0000000000697   0.0000000001826
178   |    -6.83742623313296   -13.30877281879480  |  -0.0000000000529   0.0000000001895
179   |     1.13977017757364    -1.81169867435727  |  -0.0000000000259   0.0000000001572
180   |     8.97842457839429   -15.53503711579440  |  -0.0000000000618   0.0000000001261
181   |    -0.98107311167302    10.75072759653156  |  -0.0000000000895   0.0000000001445
182   |   -10.50850292872975    11.16428716205452  |  -0.0000000000898   0.0000000001781
183   |     9.10142299084036     8.82516613658847  |  -0.0000000000477   0.0000000001823
184   |    -7.61583942547793    -1.71648816487188  |  -0.0000000000433   0.0000000001399
185   |     2.19949750200288     7.68231265239451  |  -0.0000000000860   0.0000000001357
186   |   -11.77458669345890     7.02429247179377  |  -0.0000000000711   0.0000000001747
187   |    -5.72721611554237   -30.25005806574686  |  -0.0000000000675   0.0000000001282
188   |    -2.74465782461935    -9.17160388774116  |  -0.0000000001111   0.0000000001834
189   |    18.64818982131318    -8.11827007115332  |  -0.0000000000397   0.0000000001777
190   |     9.26050960671931     1.98773159078160  |  -0.0000000000779   0.0000000001606
191   |   -10.65228460521196   -10.47014960514245  |  -0.0000000000420   0.0000000001666
192   |    24.52883522385095     3.61995667518360  |  -0.0000000000871   0.0000000001559
193   |    -3.26335261380088   -18.47508344903006  |  -0.0000000000304   0.0000000001971
194   |     2.04521560643417     0.65208346718110  |  -0.0000000000351   0.0000000001256
195   |   -16.55611218781085     1.58559936760405  |  -0.0000000000543   0.0000000001470
196   |    10.79008247474860    -4.15518260276076  |  -0.0000000000637   0.0000000001208
197   |    -1.41769268367279    -6.61764449580567  |  -0.0000000000818   0.0000000001561
198   |    -2.85647781810439     3.47818522722445  |  -0.0000000000615   0.0000000001422
199   |     4.40791524021918    14.58495289406268  |  -0.0000000000907   0.0000000001556
200   |    -1.01125360873774     4.06921935074880  |  -0.0000000000556   0.0000000001816
201   |    -1.91607727839731    10.43056546175317  |  -0.0000000000419   0.0000000001445
202   |    -6.11762845208525    -6.62051053832550  |  -0.0000000000595   0.0000000001462
203   |     5.29115147551336     3.64982670871262  |  -0.0000000000539   0.0000000001307
204   |    -0.64959933618320     6.60354830333016  |  -0.0000000000845   0.0000000001387
205   |     3.25355595238776     6.17372311731963  |  -0.0000000000738   0.0000000001446
206   |     2.64086947578206     4.46252567026548  |  -0.0000000001028   0.0000000001685
207   |    10.30850892682648    -7.19383558671027  |  -0.0000000000320   0.0000000001945
208   |    -8.31692963365426    -0.97241545520557  |  -0.0000000000460   0.0000000001172
209   |    -5.25907517473686    -8.54161988360014  |  -0.0000000000785   0.0000000001637
210   |    14.21213295207088    -6.00687370614849  |  -0.0000000000340   0.0000000001380
211   |    12.28995443067170    -0.94862554542959  |  -0.0000000000939   0.0000000001210
212   |    -2.23633467809553    10.93605204263863  |  -0.0000000000725   0.0000000001761
213   |    10.95930096874921    -6.96549315237807  |  -0.0000000000638   0.0000000001195
214   |    -7.58142863843194     5.92574392027962  |  -0.0000000001248   0.0000000001778
215   |     0.47363707289608    16.29119295364604  |  -0.0000000000292   0.0000000001989
216   |     6.03728607997271     2.64479688720671  |  -0.0000000000553   0.0000000001227
217   |   -12.05353149169402    -3.22257157210570  |  -0.0000000000945   0.0000000001560
218   |     1.51320957554260     6.79294974962009  |  -0.0000000000867   0.0000000001953
219   |    -6.17973407383628    -7.49534789759737  |  -0.0000000000177   0.0000000001971
220   |    -8.77870689072076    -7.26282111482880  |  -0.0000000000369   0.0000000001234
221   |     3.92232871471128    -8.90720066830451  |  -0.0000000000724   0.0000000001575
222   |   -13.72264963332949   -10.21139033148746  |  -0.0000000000572   0.0000000001517
223   |    -7.72605172140232    -2.31776527092616  |  -0.0000000000662   0.0000000001672
224   |     4.21783183345639    -6.10654886695455  |  -0.0000000000481   0.0000000001472
225   |    12.48917255468199     3.75687099803700  |  -0.0000000000911   0.0000000001617
226   |    17.23580940600267    -3.99452145484852  |  -0.0000000000438   0.0000000001887
227   |   -16.88507438241363    -6.66977008307996  |  -0.0000000000624   0.0000000001528
228   |    10.77123371549766    -9.88203226827424  |  -0.0000000000423   0.0000000001945
229   |     1.34886475340633     6.78648063775469  |  -0.0000000000376   0.0000000001297
230   |     1.95039908727605     5.64449403066095  |  -0.0000000000849   0.0000000001857
231   |   -23.72554065190089   -30.42250759290786  |  -0.0000000000171   0.0000000001810
232   |    17.43105699778441    21.71742082540968  |  -0.0000000000337   0.0000000001504
233   |     0.76263152879177     3.93991758827783  |  -0.0000000000525   0.0000000001312
234   |     5.09258178701429     6.04275568013270  |  -0.0000000000847   0.0000000001875
235   |    -8.21657375070569    16.06049994654139  |  -0.0000000000119   0.0000000001799
236   |     1.59951481588756    -2.83773977253086  |  -0.0000000000475   0.0000000001537
237   |     0.52785256290617    -8.20048952098371  |  -0.0000000000298   0.0000000001588
238   |     3.90061981376933     8.82340180555939  |  -0.0000000000577   0.0000000001669
239   |   -19.81497365118666     0.18030792856231  |   0.0000000000005   0.0000000001605
240   |     3.79167321600373    -5.54879578506176  |  -0.0000000000732   0.0000000001102
241   |    -0.67348294504498     2.80227719304110  |  -0.0000000000675   0.0000000001986
242   |    -5.86222652421981     2.74685688921241  |  -0.0000000000316   0.0000000001588
243   |    -8.78417056475866    17.77661201003335  |  -0.0000000000630   0.0000000001857
244   |    -5.07995286705793     5.40836555050079  |  -0.0000000000032   0.0000000001965
245   |    -5.27830023258130    17.60762937424494  |  -0.0000000000166   0.0000000001406
246   |    -0.52757234326990     1.61953109381101  |  -0.0000000000245   0.0000000001777
247   |   -15.74541619188050     4.58789296016764  |  -0.0000000000085   0.0000000001157
248   |    -4.76643377508855    -4.35888479408571  |  -0.0000000000860   0.0000000001815
249   |    20.54540695688350    -6.96561001387029  |   0.0000000000387   0.0000000001798
250   |     1.16394174897368   -10.75587023280186  |  -0.0000000000566   0.0000000001048
251   |     1.02717300806956    14.72571896547614  |  -0.0000000000232   0.0000000002008
252   |    -7.67052560940905     0.62018757926759  |  -0.0000000000056   0.0000000001244
253   |     7.66848370081746    22.33847193027181  |  -0.0000000000385   0.0000000001566
254   |    -3.68532320370835    -2.26118288849711  |  -0.0000000000275   0.0000000001570
255   |     5.27392949732857   -12.36244552254825  |   0.0000000000046   0.0000000001721
256   |    -6.95094159295710     8.18893603299410  |  -0.0000000000018   0.0000000001060
257   |   -18.43440757822573     3.25224812368018  |  -0.0000000000365   0.0000000001510
258   |     1.17938799034732   -10.28943306457761  |   0.0000000000105   0.0000000001114
259   |     2.83996233022357     8.13066823510560  |  -0.0000000000747   0.0000000001061
260   |    12.57833760807425     1.24342949011948  |  -0.0000000000273   0.0000000001672
261   |    16.55605890460359     0.96865865811313  |  -0.0000000000426   0.0000000001016
262   |    -1.87847078946956     1.57203154062440  |  -0.0000000000618   0.0000000001809
263   |     0.78147149987710    17.38452744712769  |   0.0000000000062   0.0000000001181
264   |    -3.11756174960986     3.44311813592261  |  -0.0000000000923   0.0000000001206
265   |    12.08009999282146     7.01265862392284  |  -0.0000000000570   0.0000000001740
266   |    -3.37418960916645     3.14298774490874  |  -0.0000000000575   0.0000000001933
267   |    13.92685227416288     5.81769327761429  |   0.0000000000250   0.0000000001807
268   |    11.32600169397239     6.13160108833378  |  -0.0000000000292   0.0000000001204
269   |    -8.74627006339141     0.73451128745144  |  -0.0000000000175   0.0000000001631
270   |   -10.37785507842164   -17.37027935716645  |  -0.0000000000221   0.0000000001290
271   |     8.41792391473316    -3.07979620687515  |  -0.0000000000307   0.0000000001330
272   |    -2.66488647430175     3.56204239024322  |  -0.0000000000727   0.0000000001544
273   |     5.22589013241502    -6.50938799349510  |   0.0000000000054   0.0000000001975
274   |    11.42096439311831    11.32489629703883  |  -0.0000000000117   0.0000000001094
275   |    -3.34768510725092    -1.16288135115107  |  -0.0000000000342   0.0000000001573
276   |    -5.75142458172488    -1.29298056740794  |  -0.0000000000394   0.0000000001238
277   |     9.37189742389922    -2.94327011908761  |  -0.0000000000545   0.0000000002005
278   |    -7.20451062143757     5.67845876109054  |   0.0000000000352   0.0000000001654
279   |     0.51133446466323   -13.05158318455078  |  -0.0000000000221   0.0000000001095
280   |     7.40150345654536    -4.24811499568555  |  -0.0000000000466   0.0000000001710
281   |    -4.02379082734207   -11.67953112856817  |   0.0000000000258   0.0000000001768
282   |   -21.01876149350365   -14.36698252215925  |   0.0000000000223   0.0000000001026
283   |   -18.29589563946649     1.15341929574327  |  -0.0000000000289   0.0000000000931
284   |    10.83731430322246   -14.59198474120556  |  -0.0000000000698   0.0000000001211
285   |   -12.80041774044631     6.83628463756601  |  -0.0000000000496   0.0000000001736
286   |     2.73331733952093    10.20769057743957  |  -0.0000000000145   0.0000000001672
287   |     2.26968609631227    -6.75728640551494  |   0.0000000000068   0.0000000001358
288   |     0.68352490778731     0.52393782344065  |  -0.0000000000558   0.0000000001116
289   |     0.44827965619356     9.06408091750636  |  -0.0000000000402   0.0000000001894
290   |    -2.12073535831231    -5.37911766549764  |  -0.0000000000139   0.0000000001384
291   |    -7.99277968108644   -11.12305651655189  |  -0.0000000000477   0.0000000001966
292   |    -9.02888854459098     0.61443736527754  |   0.0000000000481   0.0000000001883
293   |    -8.96140524753622    -2.52207315746832  |   0.0000000000365   0.0000000001237
294   |     1.71332975791507   -10.74745168067606  |   0.0000000000171   0.0000000000982
295   |     1.32131760315178    -1.03236721731293  |  -0.0000000000195   0.0000000001066
296   |     0.30619111127272    -7.15586653985952  |  -0.0000000000054   0.0000000000870
297   |    -6.71333795851646    -7.46171998870417  |  -0.0000000000991   0.0000000000967
298   |   -14.17560728197195    -8.25572405493164  |  -0.0000000000406   0.0000000001954
299   |    13.33014984293414     0.74194378181708  |  -0.0000000000169   0.0000000001226
300   |    -6.25907515017084     0.79828999444624  |  -0.0000000000368   0.0000000001666
301   |     9.97897032138773   -15.93156203994928  |  -0.0000000000093   0.0000000001233
302   |     2.41840331893443    13.60247591793917  |  -0.0000000000447   0.0000000001600
303   |   -23.28225898706168   -12.27699614322624  |   0.0000000000088   0.0000000001225
304   |    -1.09598944940505   -14.62762818196687  |  -0.0000000000795   0.0000000001129
305   |    -6.94363681523503   -28.15327098531836  |  -0.0000000000612   0.0000000001867
306   |     1.99561344169070    13.91849017739909  |  -0.0000000000198   0.0000000001886
307   |    17.99089323003325    -3.22755593533569  |  -0.0000000000090   0.0000000001561
308   |    -6.18606954853483   -10.22942186855433  |  -0.0000000000268   0.0000000001802
309   |     9.33411091418921    -8.98220581667428  |   0.0000000000114   0.0000000001570
310   |   -11.79593499843425    -6.71538000083640  |  -0.0000000000258   0.0000000001711
311   |    10.36610887615181    -9.55624970080581  |   0.0000000000371   0.0000000001547
312   |     2.98931331047126     4.12932838971021  |  -0.0000000000413   0.0000000001238
313   |     6.54371571503611     4.15374014251781  |  -0.0000000000060   0.0000000001939
314   |   -12.16835526475283     8.28645994904310  |   0.0000000000074   0.0000000001532
315   |     6.30620374919569    -6.06820319432443  |   0.0000000000110   0.0000000001674
316   |    -8.07840626518225    -1.64813415276663  |   0.0000000000209   0.0000000001575
317   |   -11.79561848894514     2.92005711606638  |   0.0000000000506   0.0000000001233
318   |     1.93528686894085   -25.33513660997261  |  -0.0000000000385   0.0000000000890
319   |     4.96556042964608     0.62739091133512  |  -0.0000000000118   0.0000000001926
320   |   -18.08031106053551    11.32367880831759  |   0.0000000000301   0.0000000001040
321   |    15.76046860071912    -8.88366195753563  |  -0.0000000000575   0.0000000001540
322   |    -7.66739553184531    -0.36109343358915  |   0.0000000000465   0.0000000001819
323   |     6.36912252807713   -10.06426419511387  |  -0.0000000000018   0.0000000000969
324   |    13.05450802506826   -10.14326749879870  |   0.0000000000033   0.0000000001906
325   |    17.61712640259019     6.20139835854892  |   0.0000000000662   0.0000000000758
326   |    -2.24271209209634     3.69712654641827  |  -0.0000000000883   0.0000000001150
327   |    -1.97040864774740    -8.32866920576663  |   0.0000000000379   0.0000000002021
328   |     5.65337400017909    -0.98850367668782  |   0.0000000000283   0.0000000000835
329   |    11.46604356522127    -0.57106546916590  |  -0.0000000000145   0.0000000001159
330   |    -4.86248382690762    -7.72180203831624  |  -0.0000000000370   0.0000000001095
331   |     6.47507481761916   -12.83692849504759  |  -0.0000000000324   0.0000000001838
332   |    -8.62292916032380    -2.29985531441067  |   0.0000000000519   0.0000000001551
333   |    20.85803984362229   -12.81173122744052  |   0.0000000000224   0.0000000000714
334   |    -5.40331773148196    14.38337432409224  |  -0.0000000000735   0.0000000000911
335   |     0.98256028099539     8.58582225951774  |  -0.0000000000593   0.0000000001984
336   |     9.16415929060269     7.65721730105892  |   0.0000000000483   0.0000000001817
337   |    20.05015772838564     4.88154967841069  |   0.0000000000147   0.0000000000842
338   |    13.33060679152005    -2.48372494891905  |  -0.0000000000524   0.0000000001428
339   |    16.74175595177073   -24.45875858244804  |  -0.0000000000008   0.0000000001664
340   |     7.67648589966406    12.98676723546886  |   0.0000000000120   0.0000000001636
341   |    -9.59883811028142    -2.74808127393142  |   0.0000000000425   0.0000000001172
342   |    -5.63465487812881   -21.10070242812343  |  -0.0000000000101   0.0000000001091
343   |    -8.57659877346080     5.14124692636244  |   0.0000000000065   0.0000000000862
344   |    10.60077418091505    -9.52045039137225  |  -0.0000000001026   0.0000000001024
345   |    11.28610524904088    -2.06697383181147  |  -0.0000000000455   0.0000000002004
346   |     2.23912129838580    -8.12891468906557  |  -0.0000000000321   0.0000000001794
347   |    -3.46210454608708     1.95787432895238  |   0.0000000000322   0.0000000001993
348   |    -2.30272764354386   -11.23513381524404  |  -0.0000000000044   0.0000000001091
